Match,Optimal_moves,Sub_optimal_moves,win,Number_turns
Game672,15,10,1,50
Game673,46,15,1,123
Game674,19,9,1,56
Game675,39,27,1,132
Game676,16,8,1,48
Game677,31,18,1,98
Game678,86,16,1,205
Game679,93,19,1,225
Game680,22,9,1,62
Game681,26,11,1,74
Game682,8,8,1,32
Game683,30,17,1,94
Game684,31,8,1,78
Game685,41,24,1,130
Game686,30,17,1,94
Game687,26,18,1,88
Game688,31,19,1,100
Game689,26,15,1,82
Game690,33,20,1,107
Game691,36,16,1,104
Game692,27,19,1,92
Game693,31,19,1,100
Game694,42,17,1,118
Game695,11,13,1,48
Game696,47,15,1,125
Game697,36,11,1,94
Game698,64,15,1,158
Game699,17,7,1,48
Game700,17,7,0,48
Game701,41,6,0,94
Game702,18,7,0,50
Game703,28,4,0,64
Game704,16,7,0,46
Game705,21,8,0,58
Game706,27,11,0,76
Game707,11,7,0,36
Game708,11,11,0,44
Game709,11,11,0,44
Game710,11,7,0,36
Game711,19,12,0,62
Game712,14,9,0,46
Game713,8,9,0,34
Game714,18,7,0,50
Game715,15,7,0,44
Game716,10,10,0,40
Game717,11,11,0,44
Game718,15,11,0,52
Game719,24,7,0,62
Game720,32,9,0,82
Game721,19,12,0,62
Game722,13,11,0,48
Game723,11,7,0,36
Game724,11,11,0,44
Game725,26,10,0,72
Game726,12,10,0,44
Game727,16,7,0,46
Game728,37,11,0,96
Game729,22,8,0,60
Game730,11,7,0,36
Game731,26,10,0,72
Game732,26,10,0,72
Game733,13,13,0,52
Game734,21,6,0,54
Game735,19,9,0,56
Game736,19,9,0,56
Game737,19,12,0,62
Game738,9,9,0,36
Game739,11,11,0,44
Game740,19,8,0,54
Game741,8,9,0,34
Game742,10,10,0,40
Game743,19,8,0,54
Game744,12,10,0,44
Game745,19,12,0,62
Game746,37,11,0,97
Game747,18,7,0,50
Game748,47,6,0,106
Game749,19,9,0,56
Game750,11,6,0,35
Game751,27,9,0,73
Game752,11,6,0,35
Game753,27,9,0,73
Game754,28,9,0,75
Game755,11,6,0,35
Game756,17,6,0,48
Game757,27,9,0,73
Game758,23,12,0,71
Game759,9,9,0,37
Game760,23,8,0,63
Game761,11,6,0,35
Game762,23,8,0,63
Game763,11,6,0,35
Game764,13,13,0,53
Game765,13,9,0,45
Game766,27,9,0,73
Game767,11,6,0,35
Game768,11,6,0,35
Game769,13,13,0,53
Game770,20,12,0,65
Game771,11,6,0,35
Game772,19,12,0,63
Game773,19,12,0,63
Game774,17,6,0,47
Game775,27,9,0,73
Game776,30,10,0,81
Game777,21,11,0,65
Game778,27,9,0,73
Game779,21,7,0,58
Game780,11,6,0,35
Game781,27,9,0,73
Game782,27,9,0,73
Game783,27,9,0,73
Game784,8,9,0,35
Game785,11,6,0,35
Game786,27,9,0,73
Game787,21,11,0,65
Game788,23,12,0,71
Game789,36,10,0,94
Game790,11,6,0,35
Game791,27,6,0,67
Game792,23,8,0,63
Game793,14,6,0,41
Game794,27,9,0,73
Game795,20,12,0,65
Game796,11,6,0,35
Game797,21,11,0,65
Game798,13,13,0,53
Game799,11,6,0,35
Game800,12,12,1,47
Game801,17,8,1,49
Game802,11,18,1,57
Game803,18,18,1,71
Game804,12,13,1,49
Game805,23,30,1,105
Game806,18,16,1,67
Game807,11,9,1,39
Game808,25,15,1,79
Game809,14,10,1,47
